customer_id,cohort,strategy,action,recovered,recovered_amount_minor,contacts,spend_minor,time_to_recover_hours,policy_violation
syn-00000,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00001,TIMING_SENSITIVE,native_recovery,WAIT,True,99900,0,0,15.72,False
syn-00002,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00003,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00004,TIMING_SENSITIVE,native_recovery,WAIT,True,99900,0,0,68.01,False
syn-00005,FATIGUED,native_recovery,WAIT,False,0,0,0,,False
syn-00006,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00007,SELF_HEALER,native_recovery,WAIT,False,0,0,0,,False
syn-00008,TIMING_SENSITIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00009,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00010,TIMING_SENSITIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00011,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00012,SELF_HEALER,native_recovery,WAIT,True,99900,0,0,33.29,False
syn-00013,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00014,SELF_HEALER,native_recovery,WAIT,False,0,0,0,,False
syn-00015,SELF_HEALER,native_recovery,WAIT,True,79900,0,0,19.6,False
syn-00016,SELF_HEALER,native_recovery,WAIT,False,0,0,0,,False
syn-00017,UNRECOVERABLE,native_recovery,WAIT,False,0,0,0,,False
syn-00018,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00019,TIMING_SENSITIVE,native_recovery,WAIT,True,499900,0,0,7.79,False
syn-00020,UNRECOVERABLE,native_recovery,WAIT,False,0,0,0,,False
syn-00021,SELF_HEALER,native_recovery,WAIT,True,49900,0,0,50.43,False
syn-00022,TIMING_SENSITIVE,native_recovery,WAIT,True,149900,0,0,67.72,False
syn-00023,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00024,FATIGUED,native_recovery,WAIT,False,0,0,0,,False
syn-00025,SELF_HEALER,native_recovery,WAIT,True,149900,0,0,68.78,False
syn-00026,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00027,UNRECOVERABLE,native_recovery,WAIT,False,0,0,0,,False
syn-00028,FATIGUED,native_recovery,WAIT,False,0,0,0,,False
syn-00029,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00030,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00031,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00032,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00033,UNRECOVERABLE,native_recovery,WAIT,False,0,0,0,,False
syn-00034,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00035,SELF_HEALER,native_recovery,WAIT,True,149900,0,0,44.48,False
syn-00036,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00037,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00038,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00039,TIMING_SENSITIVE,native_recovery,WAIT,True,49900,0,0,30.62,False
syn-00040,SELF_HEALER,native_recovery,WAIT,True,149900,0,0,21.26,False
syn-00041,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00042,FATIGUED,native_recovery,WAIT,False,0,0,0,,False
syn-00043,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00044,TIMING_SENSITIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00045,FATIGUED,native_recovery,WAIT,False,0,0,0,,False
syn-00046,SELF_HEALER,native_recovery,WAIT,True,49900,0,0,33.49,False
syn-00047,TIMING_SENSITIVE,native_recovery,WAIT,True,99900,0,0,47.49,False
syn-00048,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00049,FATIGUED,native_recovery,WAIT,False,0,0,0,,False
syn-00050,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00051,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00052,SELF_HEALER,native_recovery,WAIT,False,0,0,0,,False
syn-00053,SELF_HEALER,native_recovery,WAIT,False,0,0,0,,False
syn-00054,SELF_HEALER,native_recovery,WAIT,True,499900,0,0,34.01,False
syn-00055,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00056,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00057,SELF_HEALER,native_recovery,WAIT,False,0,0,0,,False
syn-00058,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00059,NUDGE_RESPONSIVE,native_recovery,WAIT,True,49900,0,0,8.32,False
syn-00060,SELF_HEALER,native_recovery,WAIT,True,149900,0,0,34.36,False
syn-00061,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00062,TIMING_SENSITIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00063,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00064,FATIGUED,native_recovery,WAIT,False,0,0,0,,False
syn-00065,TIMING_SENSITIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00066,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00067,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00068,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00069,SELF_HEALER,native_recovery,WAIT,False,0,0,0,,False
syn-00070,TIMING_SENSITIVE,native_recovery,WAIT,True,149900,0,0,3.14,False
syn-00071,UNRECOVERABLE,native_recovery,WAIT,False,0,0,0,,False
syn-00072,SELF_HEALER,native_recovery,WAIT,True,249900,0,0,65.94,False
syn-00073,SELF_HEALER,native_recovery,WAIT,False,0,0,0,,False
syn-00074,SELF_HEALER,native_recovery,WAIT,True,149900,0,0,69.51,False
syn-00075,NUDGE_RESPONSIVE,native_recovery,WAIT,False,0,0,0,,False
syn-00076,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
syn-00077,TIMING_SENSITIVE,native_recovery,WAIT,True,49900,0,0,49.71,False
syn-00078,INSTRUMENT_BROKEN,native_recovery,WAIT,False,0,0,0,,False
